"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","cpop","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85323","AZ","85323","=""85323""","47043","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85324","AZ","85324","=""85324""","2181","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85325","AZ","85325","=""85325""","1203","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85326","AZ","85326","=""85326""","75359","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85328","AZ","85328","=""85328""","245","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85329","AZ","85329","=""85329""","2252","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85331","AZ","85331","=""85331""","31968","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85332","AZ","85332","=""85332""","1577","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85333","AZ","85333","=""85333""","442","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85334","AZ","85334","=""85334""","697","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85335","AZ","85335","=""85335""","36088","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85336","AZ","85336","=""85336""","6514","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85337","AZ","85337","=""85337""","2041","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85338","AZ","85338","=""85338""","67451","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85339","AZ","85339","=""85339""","54641","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85340","AZ","85340","=""85340""","40919","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85341","AZ","85341","=""85341""","37","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85342","AZ","85342","=""85342""","1823","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85343","AZ","85343","=""85343""","18","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85344","AZ","85344","=""85344""","9433","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85345","AZ","85345","=""85345""","60918","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85346","AZ","85346","=""85346""","2458","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85347","AZ","85347","=""85347""","575","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85348","AZ","85348","=""85348""","2112","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85349","AZ","85349","=""85349""","31316","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85350","AZ","85350","=""85350""","19011","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85351","AZ","85351","=""85351""","27592","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85352","AZ","85352","=""85352""","278","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85353","AZ","85353","=""85353""","49120","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85354","AZ","85354","=""85354""","8531","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85355","AZ","85355","=""85355""","14460","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85356","AZ","85356","=""85356""","3840","2020-2024","2020","Census","Arizona (State)"
